carrier,class,rrd,avg_business,avg_leisure
AL1,Y0,63,0,0
AL1,Y0,56,3.36,0
AL1,Y0,49,6.14,0
AL1,Y0,42,8.37,0
AL1,Y0,35,11.15,0
AL1,Y0,31,12.85,0
AL1,Y0,28,14.03,0
AL1,Y0,24,15.71,0
AL1,Y0,21,17.39,0
AL1,Y0,17,19.68,0
AL1,Y0,14,22.43,0
AL1,Y0,10,27.61,0
AL1,Y0,7,33.37,0
AL1,Y0,5,36.78,0
AL1,Y0,3,39.65,0
AL1,Y0,1,44.07,0
AL1,Y0,0,45.09,0
AL1,Y1,63,0,0
AL1,Y1,56,3.07,0
AL1,Y1,49,5.66,0
AL1,Y1,42,7.77,0
AL1,Y1,35,10.36,0
AL1,Y1,31,11.95,0
AL1,Y1,28,13.04,0
AL1,Y1,24,14.62,0
AL1,Y1,21,16.22,0
AL1,Y1,17,18.31,0
AL1,Y1,14,20.86,0
AL1,Y1,10,25.72,0
AL1,Y1,7,31.23,0
AL1,Y1,5,34.59,0
AL1,Y1,3,37.46,0
AL1,Y1,1,42.19,0
AL1,Y1,0,43.3,0
AL1,Y2,63,0,0
AL1,Y2,56,1.75,0
AL1,Y2,49,3.19,0
AL1,Y2,42,4.35,0
AL1,Y2,35,5.79,0
AL1,Y2,31,6.68,0
AL1,Y2,28,7.29,0
AL1,Y2,24,8.2,0
AL1,Y2,21,9.1,0
AL1,Y2,17,10.24,0
AL1,Y2,14,11.66,0
AL1,Y2,10,14.38,0
AL1,Y2,7,17.38,0
AL1,Y2,5,19.22,0
AL1,Y2,3,20.79,0
AL1,Y2,1,23.35,0
AL1,Y2,0,23.95,0
AL1,Y3,63,0,0
AL1,Y3,56,0.21,0.17
AL1,Y3,49,0.38,0.24
AL1,Y3,42,0.52,0.34
AL1,Y3,35,0.69,0.44
AL1,Y3,31,0.8,0.5
AL1,Y3,28,0.88,0.54
AL1,Y3,24,0.99,0.62
AL1,Y3,21,1.09,0.71
AL1,Y3,17,1.23,0.78
AL1,Y3,14,1.42,0.82
AL1,Y3,10,1.76,0.87
AL1,Y3,7,2.14,0.9
AL1,Y3,5,2.37,0.92
AL1,Y3,3,2.55,0.96
AL1,Y3,1,2.83,0.98
AL1,Y3,0,2.89,0.99
AL1,Y4,63,0,0
AL1,Y4,56,0.46,22.06
AL1,Y4,49,0.84,32.44
AL1,Y4,42,1.15,44.19
AL1,Y4,35,1.52,55.86
AL1,Y4,31,1.75,63.7
AL1,Y4,28,1.91,68.98
AL1,Y4,24,2.14,79.32
AL1,Y4,21,2.36,89.83
AL1,Y4,17,2.66,97.67
AL1,Y4,14,3.03,104.1
AL1,Y4,10,3.73,110.39
AL1,Y4,7,4.5,114
AL1,Y4,5,4.96,116.15
AL1,Y4,3,5.34,120.47
AL1,Y4,1,5.9,122.41
AL1,Y4,0,6.03,123.43
AL1,Y5,63,0,0
AL1,Y5,56,0,10.06
AL1,Y5,49,0,14.75
AL1,Y5,42,0,19.97
AL1,Y5,35,0,25.26
AL1,Y5,31,0,28.85
AL1,Y5,28,0,31.24
AL1,Y5,24,0,35.96
AL1,Y5,21,0,40.63
AL1,Y5,17,0,44.14
AL1,Y5,14,0,47.05
AL1,Y5,10,0,49.92
AL1,Y5,7,0,51.52
AL1,Y5,5,0,52.48
AL1,Y5,3,0,54.48
AL1,Y5,1,0,55.36
AL1,Y5,0,0,55.81
